Date,LambertX,LambertY,tasminAdjust,tasmaxAdjust,tasAdjust,prtotAdjust,prsnAdjust
20060101,364000,1985000,273.93,283.63,277.99,0.0000000,0.0000000
20060102,364000,1985000,272.79,282.11,277.31,0.0000116,0.0000000
20060103,364000,1985000,277.52,286.48,281.06,0.0000017,0.0000000
20060104,364000,1985000,278.74,288.36,282.66,0.0000000,0.0000000
20060105,364000,1985000,278.50,287.80,283.75,0.0000000,0.0000000
20060106,364000,1985000,281.00,286.86,283.86,0.0000000,0.0000000
20060107,364000,1985000,279.33,284.82,282.65,0.0000016,0.0000000
20060108,364000,1985000,279.14,286.98,281.90,0.0000000,0.0000000
20060109,364000,1985000,281.80,283.70,282.81,0.0000652,0.0000000
20060110,364000,1985000,280.30,283.62,281.66,0.0000225,0.0000000
20060111,364000,1985000,279.99,281.61,280.78,0.0001061,0.0000000
20060112,364000,1985000,279.86,282.05,281.30,0.0000544,0.0000000
20060113,364000,1985000,277.13,278.13,277.47,0.0000260,0.0000000
20060114,364000,1985000,277.40,281.48,279.55,0.0000157,0.0000000
20060115,364000,1985000,274.89,278.93,277.05,0.0000255,0.0000000
20060116,364000,1985000,272.41,280.61,276.05,0.0000143,0.0000004
20060117,364000,1985000,275.68,281.46,278.92,0.0000293,0.0000000
20060118,364000,1985000,273.65,280.92,275.33,0.0000000,0.0000000
20060119,364000,1985000,276.48,281.21,279.14,0.0000498,0.0000000
20060120,364000,1985000,272.96,280.22,278.45,0.0000000,0.0000000
20060121,364000,1985000,272.45,280.97,276.03,0.0000163,0.0000025
20060122,364000,1985000,276.25,280.18,278.49,0.0001011,0.0000000
20060123,364000,1985000,274.71,280.30,276.90,0.0000000,0.0000000
20060124,364000,1985000,273.21,278.82,275.44,0.0000047,0.0000002
20060125,364000,1985000,274.48,283.62,279.96,0.0000428,0.0000000
20060126,364000,1985000,273.28,281.13,277.51,0.0000107,0.0000000
20060127,364000,1985000,278.98,285.21,282.53,0.0000129,0.0000000
20060128,364000,1985000,278.14,281.54,280.09,0.0001004,0.0000000
20060129,364000,1985000,275.02,284.99,281.70,0.0000112,0.0000000
20060130,364000,1985000,276.00,281.92,278.57,0.0001703,0.0000000
20060131,364000,1985000,276.82,281.50,280.01,0.0000316,0.0000000
20060201,364000,1985000,278.39,279.79,279.19,0.0000176,0.0000000
20060202,364000,1985000,277.60,280.39,279.32,0.0001961,0.0000000
20060203,364000,1985000,275.84,281.24,278.56,0.0000115,0.0000000
20060204,364000,1985000,274.35,279.41,276.67,0.0000000,0.0000000
20060205,364000,1985000,273.37,281.58,278.34,0.0000016,0.0000000
20060206,364000,1985000,276.11,281.55,278.97,0.0000778,0.0000000
20060207,364000,1985000,274.95,279.92,277.73,0.0000388,0.0000000
20060208,364000,1985000,273.50,282.10,278.21,0.0000000,0.0000000
20060209,364000,1985000,273.54,281.60,276.76,0.0000000,0.0000000
