Date,LambertX,LambertY,tasminAdjust,tasmaxAdjust,tasAdjust,prtotAdjust,prsnAdjust
19510101,364000,1985000,269.71,276.80,272.68,0.0000000,0.0000000
19510102,364000,1985000,268.23,272.34,270.23,0.0000000,0.0000000
19510103,364000,1985000,268.56,274.68,272.16,0.0000000,0.0000000
19510104,364000,1985000,269.45,275.43,272.12,0.0000000,0.0000000
19510105,364000,1985000,269.86,275.04,271.97,0.0000000,0.0000000
19510106,364000,1985000,270.15,277.11,274.08,0.0000067,0.0000004
19510107,364000,1985000,270.25,277.08,274.39,0.0000000,0.0000000
19510108,364000,1985000,273.41,281.19,277.53,0.0000296,0.0000000
19510109,364000,1985000,278.46,285.90,282.42,0.0001979,0.0000000
19510110,364000,1985000,280.85,285.05,283.07,0.0001803,0.0000000
19510111,364000,1985000,280.42,282.75,281.90,0.0002512,0.0000000
19510112,364000,1985000,278.72,283.65,281.49,0.0001106,0.0000000
19510113,364000,1985000,278.24,283.79,281.57,0.0000385,0.0000000
19510114,364000,1985000,279.27,284.94,282.33,0.0000120,0.0000000
19510115,364000,1985000,278.69,287.98,283.98,0.0000000,0.0000000
19510116,364000,1985000,280.28,288.31,284.88,0.0000000,0.0000000
19510117,364000,1985000,280.46,283.49,282.49,0.0000332,0.0000000
19510118,364000,1985000,278.93,285.37,281.73,0.0000181,0.0000000
19510119,364000,1985000,279.05,287.51,283.38,0.0000392,0.0000000
19510120,364000,1985000,280.51,285.56,284.09,0.0001354,0.0000000
19510121,364000,1985000,279.88,285.13,283.10,0.0000087,0.0000000
19510122,364000,1985000,281.80,288.45,285.46,0.0000000,0.0000000
19510123,364000,1985000,278.72,289.11,284.84,0.0000399,0.0000000
19510124,364000,1985000,279.68,284.25,282.69,0.0000000,0.0000000
19510125,364000,1985000,274.42,286.02,277.96,0.0000000,0.0000000
19510126,364000,1985000,278.73,284.53,281.17,0.0000812,0.0000000
19510127,364000,1985000,276.94,284.18,281.23,0.0000000,0.0000000
19510128,364000,1985000,273.77,282.60,278.41,0.0000000,0.0000000
19510129,364000,1985000,270.43,279.07,272.42,0.0000000,0.0000000
19510130,364000,1985000,271.42,277.80,274.33,0.0000000,0.0000000
19510131,364000,1985000,271.76,280.23,278.16,0.0000000,0.0000000
19510201,364000,1985000,274.69,283.04,278.52,0.0000042,0.0000000
19510202,364000,1985000,273.59,281.56,278.42,0.0000000,0.0000000
19510203,364000,1985000,273.42,284.05,277.14,0.0000000,0.0000000
19510204,364000,1985000,272.51,284.56,278.05,0.0000000,0.0000000
19510205,364000,1985000,273.89,283.50,280.08,0.0000000,0.0000000
19510206,364000,1985000,272.77,283.76,277.59,0.0000000,0.0000000
